id,prompt,task_type,difficulty,difficulty_bucket,required_quality,risk_level,expected_output_tokens,latency_sensitivity
pc_0265,Implement sliding window in C++.,coding,0.447,medium,0.821,medium,523,medium
pc_0266,Create an executive summary of this real-time chat system document.,summarization,0.377,medium,0.721,medium,442,high
pc_0267,Create a FastAPI endpoint that release pipeline.,coding,0.525,medium,0.809,medium,642,medium
pc_0268,Create a short caption for birthday wish.,writing,0.077,easy,0.601,low,166,high
pc_0269,"Parse this invoice and return invoice number, date, amount.",extraction,0.254,easy,0.753,medium,350,high
pc_0270,"Rewrite this message in a friendly tone: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",writing,0.273,easy,0.608,low,406,high
pc_0271,Compare LLM inference router and Kafka with tradeoffs.,reasoning,0.67,medium,0.911,high,941,low
pc_0272,Create an architecture for prompt caching optimized for latency and cost.,system_design,0.787,hard,0.962,high,1023,low
pc_0273,Extract entities from this paragraph: CPU usage increases after every deployment and memory is not released after requests complete.,extraction,0.324,easy,0.782,medium,399,high
pc_0274,Draft a professional message about memory leak.,writing,0.38,medium,0.643,low,401,high
pc_0275,Write a concise email to an engineering team about distributed cache.,writing,0.344,easy,0.58,low,459,high
pc_0276,Generate unit tests for this C++ function: The team decided to ship next week but wants rollback guardrails and better monitoring.,coding,0.475,medium,0.836,medium,621,medium
pc_0277,"Summarize this document into 5 bullet points: The service receives bursty traffic, retries requests, and sometimes returns stale data.",summarization,0.332,easy,0.731,medium,335,high
pc_0278,Summarize pros and cons of LLM inference router.,summarization,0.375,medium,0.703,medium,500,high
pc_0279,"Rewrite this message in a persuasive tone: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",writing,0.147,easy,0.563,low,216,high
pc_0280,Compare Redis and memory leak with tradeoffs.,reasoning,0.778,hard,0.968,high,1134,low
pc_0281,"Given these constraints, choose the best approach and justify it: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",reasoning,0.659,medium,0.91,high,977,low
pc_0282,Extract key decisions from this meeting note: The team decided to ship next week but wants rollback guardrails and better monitoring.,summarization,0.289,easy,0.685,medium,437,high
pc_0283,"Parse this invoice and return company, role, location.",extraction,0.309,easy,0.754,medium,372,high
pc_0284,Implement LRU cache in JavaScript.,coding,0.554,medium,0.808,medium,699,medium
pc_0285,Summarize this document into 3 bullet points: CPU usage increases after every deployment and memory is not released after requests complete.,summarization,0.299,easy,0.741,medium,414,high
pc_0286,Explain when to use real-time chat system in production systems.,factual,0.526,medium,0.796,medium,594,medium
pc_0287,Explain memory leak in simple terms.,factual,0.485,medium,0.789,medium,535,medium
pc_0288,Extract entities from this paragraph: def f(items): return items[len(items)],extraction,0.335,easy,0.804,medium,457,high
pc_0289,Create a FastAPI endpoint that real-time chat system.,coding,0.468,medium,0.825,medium,572,medium
pc_0290,Draft a professional message about release pipeline.,writing,0.209,easy,0.625,low,295,high
pc_0291,Draft a professional message about vector database.,writing,0.181,easy,0.583,low,344,high
pc_0292,Create an executive summary of this race condition document.,summarization,0.437,medium,0.701,medium,566,high
pc_0293,Generate unit tests for this Java function: The team decided to ship next week but wants rollback guardrails and better monitoring.,coding,0.532,medium,0.786,medium,524,medium
pc_0294,Write a Rust function to customer apology.,coding,0.525,medium,0.851,medium,555,medium
pc_0295,"Parse this invoice and return invoice number, date, amount.",extraction,0.376,medium,0.783,medium,418,high
pc_0296,Find the error in this derivation: CPU usage increases after every deployment and memory is not released after requests complete.,math,0.656,medium,0.954,high,700,low
pc_0297,Give a concise overview of real-time chat system.,factual,0.418,medium,0.801,medium,459,medium
pc_0298,Analyze pros and cons of system reliability for a high-scale system.,reasoning,0.605,medium,0.876,high,1004,medium
pc_0299,"Classify this support ticket and extract priority, owner, and due date: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",extraction,0.264,easy,0.79,medium,302,high
pc_0300,Explain system reliability in simple terms.,factual,0.304,easy,0.741,medium,343,medium
pc_0301,Create a FastAPI endpoint that rate limiting.,coding,0.495,medium,0.795,medium,514,medium
pc_0302,Write a TypeScript function to memory leak.,coding,0.602,medium,0.857,medium,623,medium
pc_0303,Summarize this document into 10 bullet points: def f(items): return items[len(items)],summarization,0.371,medium,0.706,medium,387,high
pc_0304,Explain AI productivity in simple terms.,factual,0.389,medium,0.814,medium,554,medium
pc_0305,Compare multi-region failover and real-time chat system with tradeoffs.,reasoning,0.807,hard,0.912,high,1112,low
pc_0306,Implement sliding window in Java.,coding,0.495,medium,0.849,medium,603,medium
pc_0307,Calculate real-time chat system and explain the reasoning.,math,0.669,medium,0.919,high,756,low
pc_0308,"Classify this support ticket and extract priority, owner, and due date: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",extraction,0.235,easy,0.793,medium,241,high
pc_0309,Create an executive summary of this Kafka document.,summarization,0.37,medium,0.727,medium,356,high
pc_0310,Implement retry with exponential backoff in TypeScript.,coding,0.547,medium,0.785,medium,652,medium
pc_0311,Explain Kubernetes autoscaling in simple terms.,factual,0.395,medium,0.786,medium,410,medium
pc_0312,Find the error in this derivation: def f(items): return items[len(items)],math,0.675,medium,0.933,high,756,low
pc_0313,Fix a cache stampede in this distributed system.,debugging,0.888,hard,0.93,high,899,low
pc_0314,Analyze why this service has race condition under load.,debugging,0.872,hard,0.97,high,900,low
pc_0315,Calculate invoice processing and explain the reasoning.,math,0.661,medium,0.936,high,647,low
pc_0316,Design a scalable customer apology for 10M users.,system_design,0.776,hard,0.97,high,1095,low
pc_0317,Create an executive summary of this AI productivity document.,summarization,0.322,easy,0.736,medium,342,high
pc_0318,Draft a professional message about prompt caching.,writing,0.211,easy,0.564,low,311,high
pc_0319,Explain race condition in simple terms.,factual,0.57,medium,0.782,medium,576,medium
pc_0320,Create a short caption for binary search.,writing,0.145,easy,0.622,low,196,high
pc_0321,Create a FastAPI endpoint that invoice processing.,coding,0.572,medium,0.854,medium,589,medium
pc_0322,Create a short caption for Kubernetes autoscaling.,writing,0.16,easy,0.604,low,325,high
pc_0323,Design a multi-region memory leak with cost efficiency.,system_design,0.848,hard,0.97,high,1053,low
pc_0324,Draft a professional message about rate limiting.,writing,0.259,easy,0.603,low,296,high
pc_0325,Extract entities from this paragraph: CPU usage increases after every deployment and memory is not released after requests complete.,extraction,0.276,easy,0.79,medium,324,high
pc_0326,Fix a latency spike in this inference system.,debugging,0.737,hard,0.912,high,829,low
pc_0327,Analyze pros and cons of prompt caching for a high-scale system.,reasoning,0.657,medium,0.934,high,923,low
pc_0328,What is the difference between multi-region failover and prompt caching?,factual,0.606,medium,0.801,medium,650,medium
pc_0329,"Generate unit tests for this Python function: The service receives bursty traffic, retries requests, and sometimes returns stale data.",coding,0.457,medium,0.799,medium,593,medium
pc_0330,Create a short caption for real-time chat system.,writing,0.076,easy,0.593,low,97,high
pc_0331,Explain when to use Kafka in production systems.,factual,0.467,medium,0.806,medium,611,medium
pc_0332,Explain when to use vector database in production systems.,factual,0.527,medium,0.743,medium,577,medium
pc_0333,Solve this math problem step by step: invoice processing.,math,0.764,hard,0.97,high,702,low
pc_0334,Design a scalable system reliability for global traffic.,system_design,0.734,hard,0.936,high,1120,low
pc_0335,Design a multi-region LLM inference router with eventual consistency.,system_design,0.98,hard,0.97,high,1260,low
pc_0336,"Rewrite this message in a direct tone: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",writing,0.149,easy,0.632,low,207,high
pc_0337,Create a short caption for customer apology.,writing,0.111,easy,0.608,low,125,high
pc_0338,"Classify this support ticket and extract priority, owner, and due date: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",extraction,0.268,easy,0.814,medium,269,high
pc_0339,Summarize pros and cons of Kubernetes autoscaling.,summarization,0.329,easy,0.71,medium,326,high
pc_0340,Brainstorm names for a product about LLM inference router.,creative,0.331,easy,0.609,low,338,medium
pc_0341,Solve this math problem step by step: Kubernetes autoscaling.,math,0.769,hard,0.97,high,811,low
pc_0342,"Find the bug in this TypeScript code and explain the fix: The service receives bursty traffic, retries requests, and sometimes returns stale data.",debugging,0.686,medium,0.897,high,756,low
pc_0343,Analyze pros and cons of Kubernetes autoscaling for a high-scale system.,reasoning,0.633,medium,0.916,high,875,low
pc_0344,"Parse this invoice and return action items, owners, deadlines.",extraction,0.368,medium,0.744,medium,476,high
pc_0345,Give a concise overview of AI productivity.,factual,0.455,medium,0.753,medium,572,medium
pc_0346,Implement binary search in TypeScript.,coding,0.455,medium,0.804,medium,444,medium
pc_0347,Write a Rust function to LLM inference router.,coding,0.544,medium,0.791,medium,517,medium
pc_0348,Calculate invoice processing and explain the reasoning.,math,0.712,hard,0.898,high,831,low
pc_0349,"Given these constraints, choose the best approach and justify it: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",reasoning,0.589,medium,0.882,high,900,medium
pc_0350,"Summarize this document into 7 bullet points: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",summarization,0.281,easy,0.729,medium,355,high
pc_0351,Find the error in this derivation: The model endpoint has variable latency and some requests need premium quality.,math,0.665,medium,0.937,high,771,low
pc_0352,"Design Kubernetes autoscaling with observability, fallback, and autoscaling.",system_design,0.77,hard,0.97,high,1180,low
pc_0353,Analyze why this service has deadlock under load.,debugging,0.745,hard,0.908,high,752,low
pc_0354,Analyze why this service has deadlock under load.,debugging,0.825,hard,0.942,high,836,low
pc_0355,"Parse this invoice and return invoice number, date, amount.",extraction,0.331,easy,0.754,medium,482,high
pc_0356,Draft a professional message about vector database.,writing,0.25,easy,0.622,low,339,high
pc_0357,Explain when to use LLM inference router in production systems.,factual,0.462,medium,0.756,medium,597,medium
pc_0358,Give a concise overview of race condition.,factual,0.603,medium,0.806,medium,633,medium
pc_0359,Extract key decisions from this meeting note: The model endpoint has variable latency and some requests need premium quality.,summarization,0.376,medium,0.718,medium,397,high
pc_0360,Find the error in this derivation: def f(items): return items[len(items)],math,0.64,medium,0.969,high,594,low
pc_0361,Summarize pros and cons of vector database.,summarization,0.3,easy,0.728,medium,431,high
pc_0362,Find the bug in this Python code and explain the fix: CPU usage increases after every deployment and memory is not released after requests complete.,debugging,0.697,medium,0.925,high,658,low
pc_0363,Create an architecture for LLM inference router optimized for latency and cost.,system_design,0.821,hard,0.97,high,1107,low
pc_0364,Compare AI productivity and customer apology with tradeoffs.,reasoning,0.718,hard,0.93,high,1126,low
pc_0365,Prove or disprove: prompt caching.,math,0.771,hard,0.97,high,756,low
pc_0366,What is the difference between Redis and Redis?,factual,0.412,medium,0.796,medium,504,medium
pc_0367,"Extract action items, owners, deadlines from this text and return valid JSON: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",extraction,0.312,easy,0.807,medium,308,high
pc_0368,"Given these constraints, choose the best approach and justify it: The team decided to ship next week but wants rollback guardrails and better monitoring.",reasoning,0.683,medium,0.908,high,947,low
pc_0369,Find the error in this derivation: The model endpoint has variable latency and some requests need premium quality.,math,0.707,hard,0.917,high,699,low
pc_0370,Extract key decisions from this meeting note: The model endpoint has variable latency and some requests need premium quality.,summarization,0.272,easy,0.681,medium,277,high
pc_0371,Draft a professional message about distributed cache.,writing,0.39,medium,0.663,low,416,high
pc_0372,Compare LLM inference router and vector database with tradeoffs.,reasoning,0.72,hard,0.921,high,1011,low
pc_0373,Brainstorm names for a product about Redis.,creative,0.29,easy,0.599,low,327,medium
pc_0374,Explain the failure modes of distributed cache.,reasoning,0.696,medium,0.876,high,1107,medium
pc_0375,Explain when to use real-time chat system in production systems.,factual,0.462,medium,0.781,medium,619,medium
pc_0376,Analyze why this service has cache stampede under load.,debugging,0.729,hard,0.902,high,810,low
pc_0377,Compare binary search and LLM inference router with tradeoffs.,reasoning,0.681,medium,0.942,high,1070,low
pc_0378,Create an architecture for multi-region failover optimized for latency and cost.,system_design,0.902,hard,0.97,high,1260,low
pc_0379,Explain when to use AI productivity in production systems.,factual,0.52,medium,0.81,medium,609,medium
pc_0380,Create an executive summary of this real-time chat system document.,summarization,0.298,easy,0.684,medium,360,high
pc_0381,Summarize pros and cons of prompt caching.,summarization,0.4,medium,0.759,medium,542,high
pc_0382,Generate unit tests for this Rust function: def f(items): return items[len(items)],coding,0.541,medium,0.793,medium,584,medium
pc_0383,Calculate prompt caching and explain the reasoning.,math,0.718,hard,0.947,high,791,low
pc_0384,Explain when to use real-time chat system in production systems.,factual,0.399,medium,0.78,medium,390,medium
pc_0385,"Given these constraints, choose the best approach and justify it: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",reasoning,0.644,medium,0.92,high,930,low
pc_0386,Explain real-time chat system in simple terms.,factual,0.36,medium,0.767,medium,529,medium
pc_0387,"Debug this Rust code that fails with IndexError: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",debugging,0.713,hard,0.904,high,826,low
pc_0388,Create an architecture for binary search optimized for latency and cost.,system_design,0.729,hard,0.945,high,1004,low
pc_0389,Explain the failure modes of rate limiting.,reasoning,0.615,medium,0.879,high,971,medium
pc_0390,Analyze why this service has memory leak under load.,debugging,0.878,hard,0.927,high,897,low
pc_0391,Fix a memory leak in this database system.,debugging,0.899,hard,0.969,high,922,low
pc_0392,Draft a professional message about customer apology.,writing,0.141,easy,0.584,low,315,high
pc_0393,Write a warm email to a customer about URL shortener.,writing,0.114,easy,0.611,low,287,high
pc_0394,Draft a professional message about birthday wish.,writing,0.181,easy,0.619,low,197,high
pc_0395,Fix a cache stampede in this inference system.,debugging,0.733,hard,0.886,high,738,low
pc_0396,"Extract company, role, location from this text and return valid JSON: The model endpoint has variable latency and some requests need premium quality.",extraction,0.23,easy,0.768,medium,349,high
pc_0397,Debug this Java code that fails with IndexError: The team decided to ship next week but wants rollback guardrails and better monitoring.,debugging,0.773,hard,0.916,high,729,low
pc_0398,Explain customer apology in simple terms.,factual,0.361,medium,0.792,medium,410,medium
pc_0399,"Extract company, role, location from this text and return valid JSON: def f(items): return items[len(items)]",extraction,0.291,easy,0.764,medium,310,high
pc_0400,What is the difference between RabbitMQ and customer apology?,factual,0.484,medium,0.763,medium,485,medium
pc_0401,Design a multi-region distributed cache with strict privacy.,system_design,0.891,hard,0.97,high,1182,low
pc_0402,Find the bug in this TypeScript code and explain the fix: The team decided to ship next week but wants rollback guardrails and better monitoring.,debugging,0.673,medium,0.926,high,723,low
pc_0403,What is the difference between invoice processing and binary search?,factual,0.434,medium,0.807,medium,513,medium
pc_0404,Write a Java function to vector database.,coding,0.483,medium,0.819,medium,594,medium
pc_0405,Compare memory leak and real-time chat system with tradeoffs.,reasoning,0.846,hard,0.97,high,1071,low
pc_0406,"Extract entities from this paragraph: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",extraction,0.296,easy,0.809,medium,366,high
pc_0407,Draft a professional message about race condition.,writing,0.373,medium,0.633,low,472,high
pc_0408,Create a short caption for Kubernetes autoscaling.,writing,0.145,easy,0.631,low,258,high
pc_0409,Extract entities from this paragraph: def f(items): return items[len(items)],extraction,0.359,medium,0.79,medium,456,high
pc_0410,Design a scalable prompt caching for 100K requests per second.,system_design,0.728,hard,0.939,high,1111,low
pc_0411,Write a Python function to birthday wish.,coding,0.468,medium,0.802,medium,605,medium
pc_0412,Create an architecture for prompt caching optimized for latency and cost.,system_design,0.736,hard,0.922,high,1011,low
pc_0413,"Extract action items, owners, deadlines from this text and return valid JSON: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",extraction,0.304,easy,0.818,medium,332,high
pc_0414,Create an architecture for RabbitMQ optimized for latency and cost.,system_design,0.842,hard,0.959,high,1049,low
pc_0415,Brainstorm names for a product about release pipeline.,creative,0.222,easy,0.568,low,249,medium
pc_0416,Analyze pros and cons of URL shortener for a high-scale system.,reasoning,0.615,medium,0.919,high,981,low
pc_0417,Solve this math problem step by step: AI productivity.,math,0.826,hard,0.968,high,910,low
pc_0418,Analyze pros and cons of URL shortener for a high-scale system.,reasoning,0.508,medium,0.881,high,956,medium
pc_0419,Generate unit tests for this C++ function: The team decided to ship next week but wants rollback guardrails and better monitoring.,coding,0.509,medium,0.803,medium,571,medium
pc_0420,"Extract name, email, phone from this text and return valid JSON: The service receives bursty traffic, retries requests, and sometimes returns stale data.",extraction,0.243,easy,0.772,medium,387,high
pc_0421,Create an executive summary of this Kafka document.,summarization,0.314,easy,0.743,medium,460,high
pc_0422,Generate unit tests for this TypeScript function: CPU usage increases after every deployment and memory is not released after requests complete.,coding,0.521,medium,0.791,medium,497,medium
pc_0423,Design a scalable customer apology for 10M users.,system_design,0.84,hard,0.97,high,1163,low
pc_0424,"Classify this support ticket and extract priority, owner, and due date: def f(items): return items[len(items)]",extraction,0.291,easy,0.743,medium,322,high
pc_0425,Prove or disprove: customer apology.,math,0.776,hard,0.968,high,832,low
pc_0426,Summarize this document into 7 bullet points: The team decided to ship next week but wants rollback guardrails and better monitoring.,summarization,0.326,easy,0.739,medium,312,high
pc_0427,Create a cinematic video prompt for race condition.,creative,0.354,medium,0.665,low,408,medium
pc_0428,"Extract key decisions from this meeting note: The service receives bursty traffic, retries requests, and sometimes returns stale data.",summarization,0.274,easy,0.705,medium,408,high
pc_0429,Generate unit tests for this TypeScript function: The model endpoint has variable latency and some requests need premium quality.,coding,0.478,medium,0.815,medium,563,medium
pc_0430,Compare Kafka and Kubernetes autoscaling with tradeoffs.,reasoning,0.705,hard,0.878,high,1015,medium
pc_0431,Explain customer apology in simple terms.,factual,0.322,easy,0.772,medium,462,medium
pc_0432,Analyze why this service has latency spike under load.,debugging,0.756,hard,0.97,high,816,low
pc_0433,Design a scalable rate limiting for 100K requests per second.,system_design,0.821,hard,0.97,high,1096,low
pc_0434,What is the difference between RabbitMQ and memory leak?,factual,0.649,medium,0.774,medium,590,medium
pc_0435,"Parse this invoice and return name, email, phone.",extraction,0.268,easy,0.745,medium,361,high
pc_0436,Write a TypeScript function to RabbitMQ.,coding,0.553,medium,0.839,medium,691,medium
pc_0437,Design a multi-region real-time chat system with eventual consistency.,system_design,0.9,hard,0.97,high,1175,low
pc_0438,Find the error in this derivation: def f(items): return items[len(items)],math,0.717,hard,0.944,high,703,low
pc_0439,"Find the error in this derivation: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",math,0.604,medium,0.961,high,655,low
pc_0440,"Given these constraints, choose the best approach and justify it: The service receives bursty traffic, retries requests, and sometimes returns stale data.",reasoning,0.682,medium,0.911,high,999,low
pc_0441,Generate unit tests for this JavaScript function: The model endpoint has variable latency and some requests need premium quality.,coding,0.512,medium,0.789,medium,528,medium
pc_0442,Calculate race condition and explain the reasoning.,math,0.704,hard,0.919,high,727,low
pc_0443,Implement LRU cache in TypeScript.,coding,0.519,medium,0.828,medium,509,medium
pc_0444,Create a short caption for distributed cache.,writing,0.311,easy,0.625,low,362,high
pc_0445,Explain when to use race condition in production systems.,factual,0.495,medium,0.818,medium,510,medium
pc_0446,Explain the failure modes of prompt caching.,reasoning,0.631,medium,0.904,high,1018,low
pc_0447,Explain release pipeline in simple terms.,factual,0.331,easy,0.79,medium,387,medium
pc_0448,"Generate unit tests for this Rust function: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",coding,0.534,medium,0.815,medium,549,medium
pc_0449,Extract key decisions from this meeting note: The model endpoint has variable latency and some requests need premium quality.,summarization,0.413,medium,0.705,medium,505,high
pc_0450,Write a short script for a concise video about release pipeline.,creative,0.159,easy,0.632,low,290,medium
pc_0451,Draft a professional message about customer apology.,writing,0.24,easy,0.626,low,377,high
pc_0452,Analyze pros and cons of birthday wish for a high-scale system.,reasoning,0.599,medium,0.924,high,939,low
pc_0453,Write a TypeScript function to real-time chat system.,coding,0.575,medium,0.832,medium,633,medium
pc_0454,What is the difference between multi-region failover and Kubernetes autoscaling?,factual,0.528,medium,0.802,medium,581,medium
pc_0455,Write a casual email to a teammate about URL shortener.,writing,0.137,easy,0.589,low,170,high
pc_0456,Implement rate limiter in TypeScript.,coding,0.426,medium,0.807,medium,510,medium
pc_0457,Design a multi-region customer apology with low latency.,system_design,0.949,hard,0.97,high,1200,low
pc_0458,"Find the error in this derivation: The service receives bursty traffic, retries requests, and sometimes returns stale data.",math,0.627,medium,0.937,high,758,low
pc_0459,Debug this TypeScript code that fails with segmentation fault: The team decided to ship next week but wants rollback guardrails and better monitoring.,debugging,0.692,medium,0.935,high,705,low
pc_0460,"Parse this invoice and return action items, owners, deadlines.",extraction,0.325,easy,0.777,medium,409,high
pc_0461,Explain the failure modes of vector database.,reasoning,0.681,medium,0.885,high,915,medium
pc_0462,Extract entities from this paragraph: The team decided to ship next week but wants rollback guardrails and better monitoring.,extraction,0.247,easy,0.752,medium,418,high
pc_0463,Analyze why this service has deadlock under load.,debugging,0.876,hard,0.945,high,880,low
pc_0464,Fix a memory leak in this database system.,debugging,0.829,hard,0.931,high,899,low
pc_0465,Create a FastAPI endpoint that vector database.,coding,0.49,medium,0.821,medium,596,medium
pc_0466,Create an architecture for real-time chat system optimized for latency and cost.,system_design,0.753,hard,0.97,high,992,low
pc_0467,Explain the failure modes of Kafka.,reasoning,0.73,hard,0.899,high,1016,medium
pc_0468,Implement LRU cache in Rust.,coding,0.579,medium,0.843,medium,718,medium
pc_0469,Create a short caption for vector database.,writing,0.05,easy,0.568,low,233,high
pc_0470,Create an executive summary of this Kubernetes autoscaling document.,summarization,0.34,easy,0.713,medium,515,high
pc_0471,Rewrite this message in a casual tone: CPU usage increases after every deployment and memory is not released after requests complete.,writing,0.241,easy,0.602,low,292,high
pc_0472,Summarize pros and cons of invoice processing.,summarization,0.324,easy,0.712,medium,502,high
pc_0473,Summarize pros and cons of release pipeline.,summarization,0.389,medium,0.753,medium,362,high
pc_0474,What is the difference between invoice processing and multi-region failover?,factual,0.544,medium,0.798,medium,680,medium
pc_0475,Extract key decisions from this meeting note: def f(items): return items[len(items)],summarization,0.386,medium,0.759,medium,386,high
pc_0476,Design a scalable Redis for enterprise customers.,system_design,0.721,hard,0.937,high,1002,low
pc_0477,Design a multi-region Kubernetes autoscaling with eventual consistency.,system_design,0.871,hard,0.97,high,1186,low
pc_0478,Create an executive summary of this race condition document.,summarization,0.474,medium,0.727,medium,565,medium
pc_0479,Brainstorm names for a product about prompt caching.,creative,0.24,easy,0.617,low,267,medium
pc_0480,Design a scalable invoice processing for 100K requests per second.,system_design,0.766,hard,0.97,high,1011,low
pc_0481,"Generate unit tests for this Rust function: The service receives bursty traffic, retries requests, and sometimes returns stale data.",coding,0.551,medium,0.819,medium,529,medium
pc_0482,Prove or disprove: race condition.,math,0.771,hard,0.967,high,800,low
pc_0483,Explain the failure modes of LLM inference router.,reasoning,0.614,medium,0.877,high,894,medium
pc_0484,Design a scalable system reliability for enterprise customers.,system_design,0.84,hard,0.97,high,1048,low
pc_0485,Create an executive summary of this Kafka document.,summarization,0.408,medium,0.682,medium,487,high
pc_0486,Extract entities from this paragraph: def f(items): return items[len(items)],extraction,0.343,easy,0.752,medium,425,high
pc_0487,Design a multi-region binary search with cost efficiency.,system_design,0.9,hard,0.97,high,1125,low
pc_0488,Rewrite this message in a professional tone: The team decided to ship next week but wants rollback guardrails and better monitoring.,writing,0.197,easy,0.593,low,256,high
pc_0489,Create a short caption for distributed cache.,writing,0.285,easy,0.571,low,410,high
pc_0490,Create an executive summary of this system reliability document.,summarization,0.314,easy,0.7,medium,470,high
pc_0491,Generate unit tests for this JavaScript function: def f(items): return items[len(items)],coding,0.532,medium,0.846,medium,666,medium
pc_0492,Prove or disprove: vector database.,math,0.724,hard,0.967,high,729,low
pc_0493,"Rewrite this message in a persuasive tone: The service receives bursty traffic, retries requests, and sometimes returns stale data.",writing,0.133,easy,0.63,low,309,high
pc_0494,Write a casual email to a manager about distributed cache.,writing,0.311,easy,0.578,low,299,high
pc_0495,Create a cinematic video prompt for Kafka.,creative,0.333,easy,0.577,low,363,medium
pc_0496,Explain the failure modes of prompt caching.,reasoning,0.598,medium,0.917,high,1028,low
pc_0497,Rewrite this message in a direct tone: The model endpoint has variable latency and some requests need premium quality.,writing,0.229,easy,0.631,low,224,high
pc_0498,Write a TypeScript function to race condition.,coding,0.584,medium,0.814,medium,640,medium
pc_0499,Explain binary search in simple terms.,factual,0.34,easy,0.79,medium,342,medium
pc_0500,Draft a professional message about prompt caching.,writing,0.247,easy,0.635,low,437,high
pc_0501,Explain the failure modes of multi-region failover.,reasoning,0.7,medium,0.934,high,938,low
pc_0502,Explain when to use release pipeline in production systems.,factual,0.47,medium,0.776,medium,547,medium
pc_0503,Write a Python function to invoice processing.,coding,0.565,medium,0.79,medium,639,medium
pc_0504,Give a concise overview of vector database.,factual,0.524,medium,0.8,medium,554,medium
pc_0505,Analyze pros and cons of Kubernetes autoscaling for a high-scale system.,reasoning,0.608,medium,0.936,high,989,low
pc_0506,Draft a professional message about Kafka.,writing,0.231,easy,0.628,low,370,high
pc_0507,Generate unit tests for this Java function: The team decided to ship next week but wants rollback guardrails and better monitoring.,coding,0.52,medium,0.799,medium,659,medium
pc_0508,Create a cinematic video prompt for Kafka.,creative,0.266,easy,0.576,low,405,medium
pc_0509,Create a cinematic video prompt for Kafka.,creative,0.251,easy,0.574,low,310,medium
pc_0510,"Summarize this document into 7 bullet points: The service receives bursty traffic, retries requests, and sometimes returns stale data.",summarization,0.426,medium,0.76,medium,503,high
pc_0511,Design a scalable real-time chat system for 10M users.,system_design,0.814,hard,0.97,high,1096,low
pc_0512,"Extract key decisions from this meeting note: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",summarization,0.351,medium,0.74,medium,493,high
pc_0513,Create a cinematic video prompt for invoice processing.,creative,0.367,medium,0.657,low,351,medium
pc_0514,"Parse this invoice and return action items, owners, deadlines.",extraction,0.241,easy,0.747,medium,348,high
pc_0515,Prove or disprove: release pipeline.,math,0.734,hard,0.892,high,766,low
pc_0516,"Classify this support ticket and extract priority, owner, and due date: def f(items): return items[len(items)]",extraction,0.252,easy,0.756,medium,328,high
pc_0517,Give a concise overview of Kafka.,factual,0.372,medium,0.792,medium,540,medium
pc_0518,Summarize pros and cons of Kafka.,summarization,0.34,easy,0.748,medium,326,high
pc_0519,Implement topological sort in Java.,coding,0.472,medium,0.782,medium,439,medium
pc_0520,Create an executive summary of this multi-region failover document.,summarization,0.407,medium,0.726,medium,491,high
pc_0521,"Given these constraints, choose the best approach and justify it: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",reasoning,0.607,medium,0.923,high,863,low
pc_0522,Debug this Java code that fails with NullPointerException: def f(items): return items[len(items)],debugging,0.631,medium,0.946,high,618,low
pc_0523,Create an executive summary of this customer apology document.,summarization,0.429,medium,0.716,medium,496,high
pc_0524,Analyze pros and cons of prompt caching for a high-scale system.,reasoning,0.705,hard,0.933,high,1029,low
pc_0525,Analyze pros and cons of URL shortener for a high-scale system.,reasoning,0.602,medium,0.873,high,881,medium
pc_0526,Give a concise overview of Kafka.,factual,0.41,medium,0.78,medium,496,medium
pc_0527,Write a persuasive email to a manager about memory leak.,writing,0.347,easy,0.597,low,443,high
pc_0528,Write a concise email to a teammate about invoice processing.,writing,0.206,easy,0.591,low,223,high
pc_0529,Compare real-time chat system and invoice processing with tradeoffs.,reasoning,0.578,medium,0.921,high,953,low
pc_0530,Compare invoice processing and release pipeline with tradeoffs.,reasoning,0.573,medium,0.872,high,819,medium
pc_0531,Implement topological sort in Python.,coding,0.52,medium,0.83,medium,610,medium
pc_0532,Create a FastAPI endpoint that Kafka.,coding,0.493,medium,0.785,medium,520,medium
pc_0533,"Given these constraints, choose the best approach and justify it: def f(items): return items[len(items)]",reasoning,0.622,medium,0.92,high,957,low
pc_0534,Design a multi-region multi-region failover with eventual consistency.,system_design,0.942,hard,0.969,high,1281,low
pc_0535,Design a scalable vector database for 100K requests per second.,system_design,0.767,hard,0.962,high,1034,low
